name,year
Hyundai i20 Sportz 1.2,2012
Tata New Safari DICOR 2.2 VX 4x2 BS IV,2011
Ford Figo 1.5D Trend MT,2016
Maruti Ertiga VXI,2013
Hyundai Verna Xi (Petrol),2008
Hyundai Xcent 1.2 VTVT E,2019
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2011
Chevrolet Cruze LTZ,2010
Toyota Etios GD,2016
Ford Figo Diesel Titanium,2011
Hyundai Xcent 1.2 VTVT S,2019
Jeep Compass 2.0 Longitude Option BSIV,2018
Ford Aspire Titanium BSIV,2019
Chevrolet Sail 1.2 LS ABS,2014
Tata Indigo LX,2012
Hyundai i20 1.2 Spotz,2017
Maruti Swift Dzire VDI,2013
Hyundai EON Magna Plus,2013
Honda City i VTEC V,2015
Maruti 800 AC,2000
Ford Figo Aspire 1.5 TDCi Ambiente,2016
Maruti Ritz VDi,2014
Maruti Wagon R VXI BS IV,2015
Hyundai Verna 1.6 CRDI,2011
Hyundai i20 1.4 CRDi Magna,2011
Chevrolet Spark 1.0 LS,2011
Volkswagen Polo Petrol Comfortline 1.2L,2013
Ford Classic 1.4 Duratorq Titanium,2014
Ford Figo Diesel Celebration Edition,2013
Maruti Swift 1.3 VXi,2007
Mahindra Scorpio M2DI,2010
Maruti Ciaz AT ZXi,2015
Renault Duster 4x4,2014
Maruti Swift VDI,2013
Hyundai Verna Transform VTVT,2011
Mahindra Scorpio 1.99 S6 Plus,2015
Maruti Swift Dzire LXI 1.2 BS IV,2018
Hyundai Verna 1.6 VTVT SX,2016
Hyundai Creta 1.6 CRDi SX Option,2015
Chevrolet Optra Magnum 2.0 LS BSIII,2011
Toyota Innova 2.5 VX (Diesel) 7 Seater,2014
Datsun GO Plus A,2015
Maruti Swift Dzire VXI,2017
Skoda Rapid 1.5 TDI AT Ambition Plus,2014
Renault KWID RXT,2016
Maruti Alto 800 LXI,2015
Chevrolet Enjoy TCDi LS 8 Seater,2014
Hyundai Grand i10 Magna,2016
Chevrolet Beat Diesel LT Option,2014
Hyundai Elite i20 Magna Plus BSIV,2019
Maruti 800 AC BSIII,2007
Tata New Safari 4X2,2007
Chevrolet Spark 1.0 LT,2012
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2013
Mahindra XUV500 W6 2WD,2012
Maruti Alto LX,2011
Maruti Swift Dzire LDi,2012
Chevrolet Spark 1.0 LT,2011
Maruti Wagon R VXI Optional,2016
Mahindra Jeep MM 540,1995
Mercedes-Benz E-Class E270 CDI,2005
Maruti Alto K10 Knightracer,2012
Mahindra Bolero 2011-2019 DI NON AC BS III SILVER,2013
Renault KWID 1.0 RXT 02 Anniversary Edition,2017
Mahindra Bolero 2011-2019 DI NON AC BS III White,2013
Toyota Fortuner 2.8 4WD MT BSIV,2018
Tata Indica V2 DLE BSIII,2007
Mahindra Quanto C2,2013
Tata Indigo V BSIII,2012
Hyundai EON Magna Plus,2016
Mahindra Bolero 2011-2019 SLE BSIII,2014
Ford Endeavour 3.0L 4X4 AT,2011
Volvo XC40 D4 Inscription BSIV,2019
Volkswagen Jetta 1.6 Trendline,2010
Ford Endeavour 3.2 Titanium AT 4X4,2018
Tata Indigo eCS VX BSIV,2013
Honda Amaze V Petrol BSIV,2019
Tata Indigo CS eLX BS IV,2012
Toyota Fortuner 2.8 4WD AT BSIV,2018
Mahindra XUV500 W10 1.99 mHawk,2018
Ford Figo 1.5P Titanium AT,2015
Tata Manza ELAN Quadrajet BS III,2011
Tata Manza Aura (ABS) Quadrajet BS IV,2010
Mahindra Scorpio VLX 2WD BSIII,2008
Tata Indigo CS eLS BS IV,2012
Tata Indigo eCS LX BSIV,2012
Maruti Omni E MPI STD BS IV,2018
Hyundai Creta 1.4 CRDi S,2018
Tata Manza Club Class Quadrajet90 LX,2012
Tata Indigo eCS VX BSIV,2013
Hyundai i20 1.2 Asta,2018
Maruti Swift VXI Optional,2016
Tata Indigo CS LX (TDI) BS-III,2017
Honda City i VTEC VX,2016
Tata Tiago 1.2 Revotron XZ,2017
Maruti Eeco 5 Seater AC BSIV,2019
Maruti 800 Std MPFi,2003
Nissan Teana XL,2014
Chevrolet Beat LT,2010
Tata Indica V2 DLS TC,2008
Honda Amaze S i-VTEC,2019
Audi Q5 35TDI Premium Plus,2018
Lexus ES 300h,2019
Jaguar XF 2.0 Diesel Portfolio,2017
Jeep Wrangler 2016-2019 3.6 4X4,2017
Toyota Yaris V BSIV,2018
Toyota Yaris V BSIV,2018
Toyota Camry 2.5 Hybrid,2016
Maruti Ciaz 1.3 Alpha,2018
Honda Jazz VX,2016
Maruti Wagon R VXI BS IV,2018
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013
Honda City i VTEC V,2016
Maruti Baleno Delta,2017
Maruti Vitara Brezza ZDi Plus,2017
BMW X4 M Sport X xDrive20d,2019
BMW X4 M Sport X xDrive20d,2019
Honda Amaze V CVT Petrol BSIV,2019
Ford Ecosport 1.5 Petrol Ambiente,2018
Tata Indigo CS LS (TDI) BS-III,2013
Renault Duster 110PS Diesel RxZ,2018
Ford EcoSport 1.5 Petrol Titanium BSIV,2017
Hyundai i20 2015-2017 Asta Option 1.4 CRDi,2017
Maruti Swift Ldi BSIV,2010
Skoda Yeti Ambition 4WD,2011
Maruti Ciaz S 1.3,2018
Maruti Zen LX,2000
Honda City 2017-2020 GXi,2008
Maruti Swift Dzire VDI,2015
Maruti Zen Estilo LXI BS IV,2009
Maruti Alto LXI,2004
Maruti Baleno Delta 1.3,2016
Renault Duster 85PS Diesel RxL Optional,2013
Maruti Alto LXi,2006
Maruti 800 Std MPFi,2003
Maruti Alto LX,2006
Maruti Alto Std,2009
Hyundai Accent VIVA CRDi,2004
Mahindra Scorpio 2.6 CRDe,2006
Hyundai Accent CRDi,2005
Maruti Ertiga VDI,2013
Chevrolet Cruze LTZ,2010
Maruti Swift VXI Optional,2016
Volkswagen Polo Diesel Highline 1.2L,2013
Toyota Innova 2.5 E Diesel MS 7-seater,2005
Nissan Micra XV CVT,2015
Mahindra Scorpio VLX 2WD ABS AT BSIII,2011
Maruti Swift Dzire VDI,2016
Ford Fiesta Classic 1.6 Duratec LXI,2012
Renault KWID 1.0 RXT Optional,2018
Toyota Fortuner 4x4 MT,2015
Hyundai Santro Xing GLS LPG,2011
Honda Civic 1.8 V AT,2009
Mahindra Xylo D2,2010
Tata Safari Storme LX,2016
Maruti Zen Estilo VXI BSIV,2014
Mahindra Bolero Power Plus Plus AC BSIV PS,2019
Mahindra Scorpio EX,2012
Mahindra Xylo D2 BS III,2015
Tata New Safari Dicor VX 4X2 BS IV,2009
Tata Indigo CR4,2011
Mahindra XUV500 W8 AWD,2013
Tata Indica Vista Aqua 1.3 Quadrajet,2010
Tata Indigo CS LE (TDI) BS-III,2008
Hyundai i10 Asta,2008
Maruti Omni E 8 Str STD,2011
Renault Duster 110PS Diesel RxL,2013
Ford Endeavour 3.2 Titanium AT 4X4,2016
Tata Indica Vista TDI LS,2015
Mahindra TUV 300 T4 Plus,2017
Maruti 800 Std,2004
Maruti Swift Dzire VXI,2015
Nissan Sunny Diesel XL,2012
Nissan Terrano XL 85 PS,2015
Mahindra Scorpio Intelli Hybrid S6 Plus,2017
Hyundai EON 1.0 Era Plus,2017
Maruti Swift VXI,2013
Maruti Estilo LXI,2010
Maruti Swift Dzire VDI,2017
Ford Figo Diesel ZXI,2012
Maruti Wagon R LXI Minor,2009
Mahindra Xylo D4 BSIII,2012
Hyundai i10 Era,2011
Honda Amaze S i-Dtech,2014
Maruti Alto LXi,2007
Nissan Sunny XL,2012
Maruti Wagon R LX BSIII,2010
Maruti Alto 800 LXI,2016
Mahindra Verito 1.5 D4 BSIII,2012
Maruti Ritz VXi,2014
Hyundai EON Sportz,2018
Datsun RediGO T,2017
Mahindra Verito 1.5 D4 BSIII,2011
Mahindra Bolero 2011-2019 ZLX,2012
Maruti Eeco 5 Seater AC BSIV,2013
Hyundai Xcent 1.1 CRDi S Option,2015
Maruti Eeco 5 Seater AC BSIV,2013
Maruti Alto LXi BSIII,2010
Maruti Alto LXi,2014
Maruti Alto LX,2012
Toyota Etios GD,2011
Maruti Esteem Vxi - BSII,2005
Honda City i VTEC V,2017
Maruti Swift Dzire LDI,2018
Maruti Ertiga ZDI,2014
Hyundai Verna 1.4 CRDi,2016
Ford Figo 1.5D Base MT,2017
Maruti Swift Vdi BSIII,2011
Ford Figo Diesel Titanium,2011
Tata Sumo MKII Turbo 2.0 LX,2010
Mahindra TUV 300 mHAWK100 T8,2017
Chevrolet Beat Diesel LT Option,2011
Toyota Corolla Altis JS MT,2015
Jaguar XF 2.2 Litre Luxury,2013
Volkswagen Ameo 1.5 TDI Comfortline AT,2017
Honda City 1.5 GXI,2004
Hyundai Santro GS zipPlus,2001
Maruti Wagon R LXI,2005
Honda City Corporate Edition,2012
Hyundai Grand i10 1.2 Kappa Sportz AT,2017
Maruti Celerio ZXI Optional,2018
Audi Q3 2.0 TDI Quattro Premium Plus,2017
Honda Civic ZX Diesel BSIV,2020
BMW X1 sDrive20d M Sport,2018
Toyota Innova Crysta 2.8 GX AT 8S BSIV,2018
Hyundai Santro Asta BSIV,2018
Force Gurkha Hard Top BS3 4WD,2018
Maruti Celerio VXI,2019
Hyundai Creta 1.6 CRDi AT SX Plus,2020
Maruti Vitara Brezza ZDi,2018
Ford Figo 1.5D Titanium MT,2015
Mahindra Thar CRDe ABS,2018
Tata Nexon 1.5 Revotorq XZ Plus,2017
MG Hector Sharp DCT Dualtone,2020
Mercedes-Benz New C-Class C 220 CDI Elegance MT,2018
Mahindra Marazzo M2 BSIV,2019
Maruti Swift VXI Optional,2017
BMW 3 Series 320d,2017
Skoda Octavia Style Plus 2.0 TDI AT,2019
Maruti Vitara Brezza ZDi Plus,2016
Volkswagen Polo 1.2 MPI Comfortline,2019
Mahindra Scorpio VLX 2WD AIRBAG BSIV,2014
Mahindra Logan Diesel 1.5 DLE,2011
Honda City i DTEC E,2015
Honda Jazz Select Edition Active,2011
Maruti Alto K10 LXI,2015
Renault KWID 1.0 RXT Optional,2018
Maruti Eeco 7 Seater Standard BSIV,2019
Mahindra TUV 300 T8,2015
Ford Figo Diesel Titanium,2012
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2011
Maruti Ertiga VDI,2013
Volkswagen Polo GT TDI,2014
Maruti 800 AC BSII,2004
Tata Indigo CS LX (TDI) BS-III,2015
Mahindra Bolero 2011-2019 Plus AC,2015
Toyota Corolla Altis 1.4 DGL,2017
Chevrolet Sail 1.2 LS ABS,2014
Ford EcoSport 1.5 TDCi Titanium BSIV,2018
Mahindra Scorpio LX,2013
Mahindra Xylo E8,2009
Hyundai i20 Active 1.2 S,2015
Nissan Sunny XV,2012
Maruti Ignis 1.2 AMT Alpha BSIV,2017
Honda WR-V i-VTEC VX,2018
Maruti Alto 800 LXI,2016
Ford Endeavour 2.5L 4X2 MT,2011
Maruti Ertiga VXI,2015
Tata Indigo GLS,2005
Tata New Safari DICOR 2.2 VX 4x2 BS IV,2011
Maruti A-Star Vxi,2011
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015
Hyundai i10 Magna,2009
Hyundai Santro LP zipPlus,2002
Hyundai i20 Sportz 1.4 CRDi,2016
Maruti Ertiga 1.5 VDI,2018
Tata Indica V2 eLS,2018
Maruti Celerio ZXI,2020
Maruti Alto 800 LXI,2014
Maruti Celerio ZDi,2015
Mahindra Xylo E4,2009
Ford Figo 1.5D Titanium MT,2016
Jeep Compass 2.0 Longitude Option BSIV,2017
Nissan Micra Diesel XV Premium,2012
Maruti Ciaz VDi Plus,2014
Hyundai i20 2015-2017 Magna 1.2,2017
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2019
Ford Endeavour 2.5L 4X2 MT,2012
Maruti Swift Dzire LDI,2013
Maruti Omni 8 Seater BSIV,2012
Mahindra XUV500 W8 AWD,2014
Hyundai Santro Xing GL CNG,2007
Chevrolet Tavera Neo 3 LS 9 Str BSIII,2015
Maruti Zen Base,2002
Maruti Swift Dzire VDI,2013
Mahindra Bolero 2011-2019 Plus - AC BSIII,2015
Maruti Swift Dzire VDI,2019
Mahindra KUV 100 mFALCON D75 K8,2017
Hyundai Verna 1.6 SX CRDi (O),2012
Maruti Wagon R LXI,2003
Mahindra TUV 300 mHAWK100 T8 Dual Tone,2017
Chevrolet Spark 1.0 LS,2011
Maruti Alto 800 LXI,2016
Tata Manza Club Class Quadrajet90 VX,2013
Volkswagen Vento 1.5 TDI Highline AT,2014
Hyundai i20 Sportz 1.4 CRDi,2014
BMW 3 Series 320d Luxury Line,2012
Maruti Celerio VXI,2016
Mahindra XUV500 W8 4WD,2012
BMW 3 Series 320d Luxury Plus,2013
Tata Manza Club Class Quadrajet90 VX,2013
Volkswagen Vento 1.5 TDI Highline AT,2014
Hyundai i20 Sportz 1.4 CRDi,2014
BMW 3 Series 320d Luxury Line,2012
Maruti Celerio VXI,2016
Mahindra XUV500 W8 4WD,2012
BMW 3 Series 320d Luxury Plus,2013
Nissan Terrano XE 85 PS,2016
Nissan Terrano XL 85 PS,2015
Tata New Safari DICOR 2.2 EX 4x2,2011
Maruti Alto 800 LX,2013
Tata Indigo LS,2008
Nissan Terrano XL 110 PS,2016
Hyundai EON Era Plus Sports Edition,2017
Tata New Safari DICOR 2.2 VX 4x2,2011
Mahindra Scorpio 2.6 Turbo 9 Str,2006
Tata Indica Vista Terra 1.4 TDI,2010
Renault KWID RXT Optional,2018
Mahindra Bolero 2011-2019 SLE,2012
Maruti Ignis 1.2 Delta BSIV,2019
Tata Sumo EX 10/7 Str BSIII,2012
Tata Hexa XM,2017
Mahindra KUV 100 mFALCON D75 K8,2016
Mahindra TUV 300 T8,2016
Mahindra Bolero 2011-2019 DI - AC BS III,2016
Mahindra XUV500 W10 2WD,2015
Maruti Alto 800 LXI,2012
Maruti Alto LXi,2011
Mahindra Xylo D2,2010
Chevrolet Optra Magnum 2.0 LT BS3,2008
Maruti Alto 800 LXI,2015
Tata Manza Aura Quadrajet BS IV,2012
Datsun GO T BSIV,2015
Fiat Grande Punto EVO 1.3 Dynamic,2015
Maruti Swift Dzire VXi,2008
Hyundai EON Sportz,2011
Maruti Swift Dzire VXI,2015
Mahindra Bolero XL 10 Seater Non AC,2007
Hyundai Elantra CRDi SX,2015
Tata Sumo EX BS IV,2012
Mahindra XUV500 W9 2WD,2018
Maruti Baleno Delta 1.3,2015
Maruti Wagon R LXI DUO BSIII,2008
Audi A3 35 TDI Premium Plus,2017
Maruti Ritz VDi,2016
Hyundai Grand i10 1.2 CRDi Asta,2018
Maruti Wagon R VXI BS IV,2011
Hyundai Santro GS zipDrive - Euro I,2002
Maruti 800 Std BSII,2004
Mahindra Scorpio VLS AT 2.2 mHAWK,2012
Maruti Wagon R VXI Optional,2016
Toyota Innova 2.5 VX 7 STR,2012
Mahindra Bolero 2011-2019 SLE,2012
Maruti Alto LXi,2010
Maruti Swift Dzire LDi,2010
Honda City 1.5 V Inspire,2010
Chevrolet Spark 1.0 LS,2009
Hyundai EON Magna Plus,2012
Maruti Swift VDI BSIV W ABS,2011
Nissan Sunny Diesel XL,2014
Mahindra XUV500 W6 2WD,2011
Renault Duster 85PS Diesel RxL,2015
Maruti Ciaz Delta BSIV,2018
Audi Q5 3.0 TDI Quattro,2014
Hyundai i20 1.2 Asta,2018
Audi Q7 3.0 TDI Quattro,2014
Mahindra Scorpio S3 9 Seater BSIV,2018
Volkswagen Polo Diesel Highline 1.2L,2013
Honda Accord V6 AT,2005
Audi Q7 3.0 TDI Quattro Premium Plus,2012
Maruti Vitara Brezza VDi,2017
Land Rover Freelander 2 TD4 HSE,2013
Honda Amaze V Petrol BSIV,2018
Volkswagen Polo 2015-2019 1.0 MPI Comfortline,2018
Daewoo Matiz SS,2000
Datsun GO T BSIV,2016
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2016
Hyundai Creta 1.6 CRDi SX Option,2015
Renault Duster 110PS Diesel RxL,2013
Maruti Zen LXI,2001
Maruti Swift VDI,2012
Maruti Wagon R Stingray VXI,2014
Maruti SX4 ZXI AT,2009
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2012
Chevrolet Spark 1.0,2010
Maruti Wagon R VXI Minor,2010
Hyundai Xcent 1.1 CRDi SX,2016
Chevrolet Beat LT,2015
Honda City i-DTEC VX,2017
Toyota Innova 2.5 G (Diesel) 8 Seater,2014
Hyundai i20 1.2 Spotz,2018
Maruti Baleno Zeta 1.3,2017
Hyundai Grand i10 Sportz,2016
Maruti Celerio X ZXI BSIV,2019
Datsun GO Plus T,2017
Tata Zest Quadrajet 1.3 XM,2016
Maruti Alto K10 2010-2014 VXI,2012
Maruti Swift VDI,2012
Maruti Swift VXI 2018,2018
Mahindra Scorpio 1.99 S6 Plus,2016
Maruti Wagon R LXI DUO BSIII,2010
Maruti Zen LXI,2005
Mahindra Xylo E8 ABS Airbag,2010
Mahindra Scorpio LX,2013
Tata New Safari DICOR 2.2 LX 4x2,2007
Maruti Vitara Brezza ZDi,2017
Mahindra Bolero 2011-2019 SLX,2015
Tata Tiago 1.2 Revotron XZ,2017
Maruti Swift VDI,2011
Maruti Swift Dzire VDi,2012
Hyundai i10 Era 1.1,2010
Honda Amaze VX i-DTEC,2016
Maruti Vitara Brezza ZDi Plus,2016
Maruti Alto 800 LXI,2013
Maruti Wagon R LXI Minor,2009
Mahindra Bolero 2011-2019 SLE,2014
Maruti Swift VDI,2012
Maruti Alto LXi,2008
Honda City 1.5 S MT,2009
Mahindra Bolero Power Plus SLX,2017
Mahindra Bolero 2011-2019 SLX,2014
Honda City E,2012
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2012
Maruti Celerio VXI,2016
Maruti Alto K10 LXI,2012
Hyundai Verna VTVT 1.6 SX,2018
Maruti Alto 800 VXI,2016
Renault KWID RXL,2016
Maruti Alto 800 LXI,2012
Chevrolet Aveo 1.4 LS,2011
Hyundai i20 Sportz Option 1.4 CRDi,2016
Tata Indica Vista TDI LS,2011
Ford EcoSport 1.5 Petrol Ambiente BSIV,2017
Fiat Grande Punto Active (Diesel),2013
Maruti Baleno Delta 1.2,2017
Hyundai Xcent 1.2 Kappa SX Option,2017
Tata Aria Pure LX 4x2,2014
Tata Tigor 1.05 Revotorq XM,2018
Mahindra Xylo D2,2010
Hyundai EON Magna Plus,2018
Maruti Baleno Delta 1.2,2018
Maruti Ciaz 1.4 Alpha,2018
Hyundai Verna VTVT 1.6 SX,2017
Maruti Swift VDI,2013
Hyundai Grand i10 1.2 Kappa Sportz Option,2018
Maruti Swift Dzire VDi,2012
Hyundai Xcent 1.2 Kappa AT SX Option,2015
Hyundai Verna VTVT 1.6 SX,2017
Maruti Alto 800 VXI,2017
Maruti Ciaz VDi Plus SHVS,2016
Tata Nexon 1.5 Revotorq XZ Plus,2018
Hyundai Verna 1.6 VTVT S Option,2015
Ford EcoSport 1.5 Petrol Trend BSIV,2017
Maruti Alto K10 VXI,2015
Mahindra XUV300 W6 Diesel BSIV,2019
Maruti Wagon R VXI Plus Optional,2017
Hyundai i20 1.4 Magna AT,2018
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2011
Mahindra Verito 1.5 D4 BSIV,2012
Tata Indigo CR4,2012
Maruti Dzire VXI,2020
Volkswagen Vento IPL II Diesel Trendline,2011
Hyundai Verna Transform CRDi VGT SX ABS,2011
Hyundai Creta 1.6 SX Automatic,2018
Mahindra Verito 1.5 D4 BSIV,2014
Skoda Rapid 1.6 MPI Ambition BSIV,2019
Maruti Swift Dzire Tour LDI,2013
Maruti 800 AC,2006
Mahindra XUV500 W10 2WD,2016
Tata New Safari DICOR 2.2 VX 4x4,2009
Tata Indica Vista TDI LX,2014
Tata Indigo LX,2005
Tata New Safari DICOR 2.2 EX 4x2,2011
Ford Ikon 1.3 CLXi,2003
Volkswagen Jetta 2.0L TDI Highline AT,2011
Chevrolet Aveo U-VA 1.2 LS,2008
Maruti Omni E MPI STD BS IV,2017
Hyundai i20 1.2 Asta,2011
Maruti Alto 800 LXI,2015
Hyundai Getz GLS,2005
Chevrolet Sail 1.2 LS ABS,2015
Maruti Ritz VXi,2009
Maruti Swift VXI,2018
Mahindra Bolero 2011-2019 SLX,2013
Maruti Ritz VXi (ABS) BS IV,2010
Hyundai Verna 1.4 CRDi,2015
Maruti Alto LXi,2011
Hyundai Santro Xing GL PLUS CNG,2007
Maruti 800 AC,2011
Renault KWID RXT,2016
Maruti 800 AC,2007
Hyundai i20 Magna,2010
Maruti Swift VDI BSIV,2009
Hyundai i20 Sportz 1.4 CRDi,2015
Tata Indigo eCS GLS,2013
Hyundai Xcent 1.1 CRDi S Option,2015
Ford Figo Diesel Celebration Edition,2013
Renault Duster 110PS Diesel RxZ,2014
Chevrolet Spark 1.0 LT,2011
Tata Nano CX,2013
Maruti Alto 800 LXI,2016
Maruti Swift VDI BSIV,2010
Maruti Vitara Brezza VDi Option,2017
Maruti Wagon R VXI BS IV,2017
Hyundai Grand i10 Sportz Celebration Edition,2016
Toyota Qualis GS G1,2003
Mahindra Bolero SLE,2010
Toyota Etios Liva G,2011
Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,2018
Ford Ikon 1.4 TDCi DuraTorq,2009
Maruti Omni 8 Seater BSII,2010
Maruti Swift VDI BSIV,2007
Tata Indica Vista TDI LS,2013
Maruti Wagon R LX,2006
Chevrolet Beat LT,2012
Mahindra Bolero SLE BSIII,2011
Maruti SX4 ZXI AT Leather,2010
Tata Nexon 1.2 Revotron XM,2018
Hyundai i20 Sportz Option 1.2,2015
Toyota Etios V,2011
Maruti Alto LX,2006
Maruti Alto K10 VXI,2015
Hyundai Accent Executive,2011
Maruti SX4 Zxi BSIII,2010
Maruti Wagon R VXI,2006
Maruti Omni E 8 Str STD,2005
Mahindra Bolero 2011-2019 mHAWK D70 ZLX,2018
Mahindra Scorpio 2.6 CRDe,2005
Tata Safari DICOR 2.2 EX 4x2,2011
Maruti Ignis 1.2 Zeta BSIV,2019
Maruti Alto K10 2010-2014 VXI,2012
Mahindra Bolero 2011-2019 ZLX,2013
Honda Jazz VX CVT,2019
Volkswagen Vento 1.5 TDI Highline,2017
Honda Jazz 1.2 V i VTEC,2017
Honda Jazz 1.5 VX i DTEC,2016
Hyundai EON Era Plus,2016
Volkswagen Polo 1.5 TDI Comfortline,2016
Maruti Swift Ldi BSIII,2007
Mahindra Quanto C4,2013
Chevrolet Beat Diesel LT,2014
Ford Figo Petrol Titanium,2010
Toyota Innova 2.5 G (Diesel) 8 Seater,2016
Maruti Wagon R VXI 1.2,2019
Hyundai i10 Sportz,2009
Maruti Ertiga VDI,2013
Maruti Wagon R CNG LXI,2013
Maruti Zen LXi - BS III,2005
Maruti SX4 Zxi with Leather BSIII,2008
Honda Brio Exclusive Edition,2014
Maruti Swift VDI,2013
Hyundai Grand i10 AT Asta,2015
Tata Indica V2 eLX,2012
Hyundai EON Era Plus,2017
Hyundai i20 1.2 Sportz,2012
Hyundai i20 1.2 Sportz,2011
Fiat Linea 1.3 Active,2011
Maruti 800 Std,2006
Maruti Ertiga VXI Petrol,2018
Maruti Celerio X ZXI,2020
Maruti Wagon R LXI BS IV,2016
Maruti Omni 5 Str STD,1998
Mahindra Scorpio S2 7 Seater,2017
Hyundai Santro Xing XG,2004
Chevrolet Spark 1.0 LS,2007
Chevrolet Tavera Neo 3 10 Seats BSIII,2014
Maruti Alto LX,2007
Hyundai Accent GLE,2005
Tata Indigo CS eLX BS IV,2012
Tata Indigo CS eLS BS IV,2012
Tata Indigo eCS LX BSIV,2012
Maruti Swift Dzire VXi,2009
Hyundai Creta 1.4 E Plus,2018
Tata Indigo eCS LX BSIV,2011
Maruti Zen LX,1999
Honda Amaze S i-Dtech,2013
Hyundai i10 Magna,2008
Maruti Swift Vdi BSIII,2008
Hyundai i20 Active 1.2 S,2015
Hyundai i20 1.2 Magna,2011
Hyundai i20 Asta 1.2,2013
Hyundai Elantra SX,2013
Hyundai Grand i10 Sportz,2016
Maruti Alto LXi,2011
Maruti Alto LX,2010
Tata Tiago 1.2 Revotron XZ,2019
Maruti Alto 800 LXI,2015
Maruti Swift Dzire VDI,2018
Maruti Swift Dzire ZXI,2015
Maruti Swift ZXI Plus,2018
Maruti Swift VDI BSIV,2011
Renault KWID RXT Optional,2016
Hyundai i10 Era,2011
Ford Freestyle Titanium Diesel BSIV,2019
Chevrolet Spark 1.0 LT,2010
Renault KWID RXT,2015
Hyundai i20 Sportz 1.2,2013
Hyundai Verna 1.4 CX,2013
Maruti Wagon R PRIMEA,2006
Mahindra Xylo D4 BSIV,2012
Hyundai Santro Xing (Non-AC),2010
Mahindra Bolero 2011-2019 SLX,2012
Maruti Swift VXI,2019
Ford Ecosport 1.5 DV5 MT Trend,2016
Ford EcoSport 1.5 TDCi Titanium BE BSIV,2018
Nissan Kicks XL BSIV,2019
Ford Figo Diesel Titanium,2012
Ford Figo 1.5D Trend MT,2017
Maruti Swift Dzire AMT VXI,2017
Ford Figo Diesel EXI Option,2012
Maruti Wagon R LXI BS IV,2012
Ford Freestyle Trend Diesel,2018
Ford Figo Aspire 1.5 TDCi Trend,2015
Renault Duster 85PS Diesel RxE Adventure,2015
Maruti Ritz VXi,2013
Hyundai Grand i10 CRDi Sportz,2014
Maruti Ritz LDi,2012
Tata Safari DICOR 2.2 EX 4x2,2017
Hyundai Verna CRDi SX,2008
Maruti Swift VDI BSIV,2014
Fiat Punto 1.3 Emotion,2010
Hyundai Xcent 1.1 CRDi S,2014
Toyota Etios GD,2012
Maruti Ertiga SHVS VDI,2018
Maruti Swift Dzire VDI,2013
Tata Tigor 1.2 Revotron XZ Option,2017
Tata Indica Vista TDI LX,2014
Ford Figo Aspire 1.2 Ti-VCT Trend,2017
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2016
Mahindra Quanto C6,2012
Toyota Etios Cross 1.2L G,2015
Mahindra Scorpio S7 120,2018
Mahindra TUV 300 T8,2016
Chevrolet Optra Magnum 2.0 LS,2011
Hyundai Santa Fe 4X4,2011
Ford Aspire Trend Diesel BSIV,2018
Toyota Innova 2.5 V Diesel 8-seater,2006
Honda Brio V MT,2012
Tata Tiago 1.2 Revotron XZ,2017
Hyundai Creta 1.6 VTVT E Plus,2016
Hyundai i10 Sportz 1.1L,2010
Toyota Innova 2.5 G (Diesel) 8 Seater,2013
Honda City i DTEC SV,2014
Hyundai EON Era Plus,2014
Chevrolet Sail Hatchback Petrol LS ABS,2013
Hyundai i10 Sportz,2010
Maruti Baleno LXI,2005
Chevrolet Captiva 2.2 LTZ AWD,2012
Tata Bolt Quadrajet XE,2019
Honda City i VTEC V,2015
Mahindra XUV500 W8 2WD,2012
Hyundai i20 1.2 Asta Dual Tone,2018
Ford Figo Aspire 1.2 Ti-VCT Sports Edition,2017
Hyundai Verna 1.6 SX,2012
Datsun RediGO 1.0 T Option,2019
Ford Ikon 1.6 Nxt,2009
Tata Nano LX,2015
Honda City 2017-2020 GXi,2006
Maruti 800 DX,1997
Hyundai Verna 1.6 Xi ABS,2006
Hyundai Creta 1.6 CRDi SX,2015
Tata Tiago 1.2 Revotron XM,2018
Ford Fiesta Diesel Style,2012
Tata Tiago 1.2 Revotron XM,2018
Maruti Alto 800 VXI,2013
Chevrolet Spark 1.0,2008
Maruti Ertiga SHVS VDI,2016
Mahindra Scorpio S2 9 Seater,2015
Mahindra Scorpio LX,2013
Ford Fusion Plus 1.4 TDCi Diesel,2008
Tata Aria Pure LX 4x2,2014
Maruti Swift VXI,2019
Hyundai i10 Sportz,2011
Hyundai Grand i10 Sportz,2016
Hyundai i10 Magna,2009
Hyundai i20 Magna,2010
Maruti Swift Dzire ZDI,2016
Tata Nexon 1.2 Revotron XZA Plus,2020
