name,selling_price,km_driven,fuel,mileage,engine,max_power,torque,seats
Toyota Innova 2.5 VX (Diesel) 7 Seater,750000,79328,Diesel,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7
Maruti Swift AMT VVT VXI,650000,5621,Petrol,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Toyota Etios VX,625000,25538,Petrol,16.78 kmpl,1496 CC,88.73 bhp,132Nm@ 3000rpm,5
Maruti Swift AMT ZXI,600000,69779,Petrol,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Hyundai Grand i10 1.2 CRDi Sportz,450000,56290,Diesel,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5
BMW X4 M Sport X xDrive20d,5400000,7500,Diesel,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5
BMW X4 M Sport X xDrive20d,5500000,8500,Diesel,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5
Honda Amaze V CVT Petrol BSIV,779000,7032,Petrol,19.0 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm,5
Skoda Rapid 1.6 MPI AT Elegance,645000,11000,Petrol,14.3 kmpl,1598 CC,103.5 bhp,153Nm@ 3800rpm,5
Volvo V40 D3 R-Design,2475000,2000,Diesel,16.8 kmpl,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5
Jaguar XE 2016-2019 2.0L Diesel Prestige,2625000,9000,Diesel,13.6 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5
Lexus ES 300h,5150000,20000,Petrol,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5
Jaguar XF 2.0 Diesel Portfolio,3200000,45000,Diesel,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5
Tata Safari Storme EX,503000,110000,Diesel,14.1 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7
Volvo XC40 D4 Inscription BSIV,3800000,20000,Diesel,18.0 kmpl,1969 CC,190 bhp,400Nm,5
Toyota Camry 2.5 Hybrid,2000000,68089,Petrol,19.16 kmpl,2494 CC,157.7 bhp,213Nm@ 4500rpm,5
Maruti Wagon R LXI,225000,58343,Petrol,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5
Maruti Baleno Alpha 1.3,740000,38817,Diesel,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Honda Jazz VX,550000,56494,Petrol,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5
Toyota Innova 2.5 VX (Diesel) 7 Seater,750000,79328,Diesel,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7
Maruti Swift AMT VVT VXI,650000,5621,Petrol,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Toyota Etios VX,625000,25538,Petrol,16.78 kmpl,1496 CC,88.73 bhp,132Nm@ 3000rpm,5
Maruti Swift AMT ZXI,600000,69779,Petrol,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Hyundai Grand i10 1.2 CRDi Sportz,450000,56290,Diesel,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5
BMW X4 M Sport X xDrive20d,5400000,7500,Diesel,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5
BMW X4 M Sport X xDrive20d,5500000,8500,Diesel,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5
Honda Amaze V CVT Petrol BSIV,779000,7032,Petrol,19.0 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm,5
Skoda Rapid 1.6 MPI AT Elegance,645000,11000,Petrol,14.3 kmpl,1598 CC,103.5 bhp,153Nm@ 3800rpm,5
Volvo V40 D3 R-Design,2475000,2000,Diesel,16.8 kmpl,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5
Tata Indigo CS eLX BS IV,385000,155000,Diesel,25.0 kmpl,1396 CC,69.01 bhp,140Nm@ 1800-3000rpm,5
Maruti Celerio ZXI AT,400000,35000,Petrol,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
Hyundai Grand i10 1.2 CRDi Sportz Option,550000,50000,Diesel,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,270000,185000,Diesel,14.8 kmpl,2499 CC,80 bhp,"19@ 1,800(kgm@ rpm)",7
Tata Indigo CS LS (TDI) BS III,200000,175000,Diesel,19.09 kmpl,1396 CC,69 bhp,135Nm@ 2500rpm,5
Renault KWID RXT Optional,310000,11500,Petrol,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5
Hyundai Xcent 1.2 CRDi S,700000,3000,Diesel,25.4 kmpl,1186 CC,73.97 bhp,190.25nm@ 1750-2250rpm,5
Chevrolet Sail LT ABS,480000,80000,Diesel,22.1 kmpl,1248 CC,74 bhp,190Nm@ 1750rpm,5
Maruti Alto LXI,90000,40000,Petrol,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
Maruti Alto LXI,80000,40000,Petrol,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
Maruti Ritz VDi,350000,90000,Diesel,23.2 kmpl,1248 CC,73.94 bhp,190Nm@ 2000rpm,5
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,600000,100000,Diesel,23.65 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Mahindra Scorpio M2DI,350000,120000,Diesel,13.5 kmpl,2179 CC,115 bhp,277.5Nm@ 1700-2200rpm,5
Maruti Vitara Brezza VDi Option,770000,50000,Diesel,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Mahindra Verito 1.5 D6 BSIV,350000,25000,Diesel,21.03 kmpl,1461 CC,65 bhp,160Nm@ 2000rpm,5
Mahindra Scorpio VLX 2WD AIRBAG BSIV,600000,50000,Diesel,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8
Mahindra TUV 300 T8,750000,71000,Diesel,18.49 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7
Maruti Wagon R VXI BS IV,340000,40000,Petrol,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
Hyundai Elite i20 Petrol Sportz,650000,31800,Petrol,18.6 kmpl,1197 CC,81.86 bhp,114.73nm@ 4000rpm,5
Hyundai i10 Sportz,300000,65000,Petrol,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5
Maruti Alto 800 LXI,204999,15000,Petrol,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
Mahindra Verito 1.5 D4 BSIII,254999,70000,Diesel,20.8 kmpl,1461 CC,65 bhp,160Nm@ 2000rpm,5
Ford Figo Aspire 1.2 Ti-VCT Titanium,650000,5000,Petrol,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5
Hyundai EON Magna Plus,280000,50000,Petrol,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5
Tata Indica V2 DLS,100000,80000,Diesel,17.2 kmpl,1396 CC,53.5 bhp,"8.5@ 2,500(kgm@ rpm)",5
Chevrolet Tavera Neo 3 9 Str BSIII,575000,70000,Diesel,13.58 kmpl,2499 CC,72.4 bhp,171Nm@ 1800rpm,9
Maruti Vitara Brezza VDi,780000,40000,Diesel,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Mahindra Bolero 2011-2019 ZLX,467000,157000,Diesel,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7
Mahindra Scorpio S10 7 Seater,1050000,90000,Diesel,15.4 kmpl,2179 CC,120 bhp,280Nm@ 1800-2800rpm,7
Hyundai i10 Magna 1.1L,225000,80000,Petrol,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5
Hyundai Santro GLS I - Euro II,90000,90000,Petrol,,,,,
Hyundai Santro Xing XG AT eRLX Euro III,80000,80000,Petrol,,,,,
Toyota Etios Liva GD,300000,80000,Diesel,,,,,
Mahindra Verito 1.5 D4 BSIV,260000,70000,Diesel,21.03 kmpl,1461 CC,65 bhp,160Nm@ 2000rpm,5
Chevrolet Spark 1.0 E,90000,50000,Petrol,16.0 kmpl,995 CC,63 bhp,"9.2@ 4,200(kgm@ rpm)",5
Ford Figo Diesel ZXI,280000,60000,Diesel,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5
Mahindra Verito 1.5 D4 BSIII,350000,106000,Diesel,20.8 kmpl,1461 CC,65 bhp,160Nm@ 2000rpm,5
Mahindra Scorpio 2.6 SLX Turbo 7 Seater,229999,80000,Diesel,10.5 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,7
Mahindra Bolero 2011-2019 DI NON AC BS III White,550000,80000,Diesel,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm,9
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,850000,110000,Diesel,12.99 kmpl,2494 CC,100 bhp,200Nm@ 1400-3400rpm,8
Mahindra Bolero DI,370000,120000,Diesel,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7
Maruti Alto K10 LXI,250000,27000,Petrol,20.92 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5
Maruti Alto LXi,95000,70000,Petrol,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
Maruti Wagon R LXI Minor,180000,70000,Petrol,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5
Mahindra NuvoSport N8 AMT,650000,50000,Diesel,17.45 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7
Hyundai Xcent 1.2 CRDi E,530000,60000,Diesel,25.4 kmpl,1186 CC,73.97 bhp,190.25nm@ 1750-2250rpm,5
Maruti Swift VVT ZXI,610000,15000,Petrol,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Maruti Zen Estilo VXI BSIV W ABS,200000,40000,Petrol,,,,,
Mahindra Xylo E4 8S,265000,135000,Diesel,14.0 kmpl,2498 CC,112 bhp,260 Nm at 1800-2200 rpm,8
Tata Tiago 1.2 Revotron XZ WO Alloy,560000,26300,Petrol,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5
Mahindra Bolero 2011-2019 SLE,430000,120000,Diesel,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7
Maruti Swift Dzire VDI,711000,35000,Diesel,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5
Maruti Swift Dzire VXI,511000,30000,Petrol,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5
Mahindra Bolero 2011-2019 ZLX,450000,165000,Diesel,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7
Tata Zest Revotron 1.2 XT,325000,50000,Petrol,17.57 kmpl,1193 CC,88.7 bhp,140Nm@ 1500-4000rpm,5
Renault Scala Diesel RxZ,434999,120000,Diesel,21.64 kmpl,1461 CC,84.8 bhp,200Nm@ 2000rpm,5
Ford Figo Diesel LXI,210000,100000,Diesel,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5
Maruti Omni BSIII 8-STR W/ IMMOBILISER,140000,90000,Petrol,,,,,
Maruti SX4 Vxi BSIII,160000,120000,Petrol,15.0 kmpl,1586 CC,104.68 bhp,"145@ 4,100(kgm@ rpm)",5
Maruti Ertiga VXI Limited Edition,650000,70000,Petrol,17.5 kmpl,1373 CC,91.1 bhp,130Nm@ 4000rpm,7
Maruti Swift VDI BSIV,250000,90000,Diesel,,,,,
Hyundai i20 Sportz 1.2,320000,72000,Petrol,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5
Renault KWID Climber 1.0 MT,290000,50000,Petrol,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5
Mahindra Jeep Classic,163000,5000,Diesel,,,,,
Tata Nano CX,80000,30000,Petrol,25.4 kmpl,624 CC,37.48 bhp,51Nm@ 4000+/-500rpm,4
Tata Safari Storme EX,1100000,20000,Diesel,14.1 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7
Maruti Ciaz ZDi Plus,600000,110000,Diesel,26.21 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Renault KWID RXT,340000,25000,Petrol,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5
Toyota Innova 2.5 G (Diesel) 7 Seater,750000,120000,Diesel,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1400-3400rpm,7
Maruti Alto LX,100000,40000,Petrol,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
Renault KWID RXT Optional,395000,10000,Petrol,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5
Maruti Wagon R VXI Minor,200000,65000,Petrol,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5
Maruti Eeco CNG 5 Seater AC BSIV,450000,10000,CNG,21.94 km/kg,1196 CC,61.7 bhp,85Nm@ 3000rpm,5
Mahindra Verito 1.4 G4 BSIV,180000,110000,Petrol,13.87 kmpl,1390 CC,75 bhp,110Nm@ 3000rpm,5
Mahindra Bolero DI,190000,120000,Diesel,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7
Maruti Eeco 5 Seater AC BSIV,310000,72000,Petrol,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,5
Maruti Ritz VDi,351000,89100,Diesel,23.2 kmpl,1248 CC,73.94 bhp,190Nm@ 2000rpm,5
Chevrolet Optra 1.6 LT Royale,190000,94000,Petrol,17.4 kmpl,1599 CC,104 bhp,148Nm@ 3500rpm,5
Hyundai EON Magna Plus,225000,120000,Petrol,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5
Chevrolet Spark 1.0 LT,130000,110000,Petrol,16.2 kmpl,995 CC,62.1 bhp,90.3Nm@ 4200rpm,5
Maruti Ciaz Alpha Diesel,1000000,50000,Diesel,28.09 kmpl,1248 CC,88.50 bhp,200Nm@ 1750rpm,5
Tata Indica V2 DLS TC,55000,90000,Diesel,16.8 kmpl,1405 CC,62 bhp,"12.5@ 2,500(kgm@ rpm)",5
Chevrolet Sail 1.2 LT ABS,330000,23000,Petrol,18.2 kmpl,1199 CC,82.4 bhp,108.5Nm@ 5000rpm,5
Maruti Omni MPI STD BSIV,166000,50000,Petrol,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm,5
Mahindra Xylo D4 BSIII,200000,300000,Diesel,14.0 kmpl,2498 CC,112 bhp,260 Nm at 1800-2200 rpm,8
Maruti Alto K10 2010-2014 VXI,140000,50000,Petrol,20.92 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5
Maruti Eeco CNG 5 Seater AC BSIV,370000,140000,CNG,21.94 km/kg,1196 CC,61.7 bhp,85Nm@ 3000rpm,5
Hyundai Elite i20 Sportz Plus CVT BSIV,720000,16000,Petrol,17.4 kmpl,1197 CC,81.86 bhp,117nm@ 4000rpm,5
Hyundai i20 Active 1.4,500000,126000,Diesel,21.19 kmpl,1396 CC,88.73 bhp,219.66nm@ 1500-2750rpm,5
Hyundai Xcent 1.2 VTVT SX,570000,15000,Petrol,20.14 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5
Maruti Swift Dzire 1.2 Vxi BSIV,210000,200000,Petrol,17.5 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5
Maruti Alto LXi,120000,120000,Petrol,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
Hyundai Getz GLX,95000,120000,Petrol,15.3 kmpl,1341 CC,83 bhp,115Nm@ 3200rpm,5
Hyundai i10 Sportz AT,196000,110000,Petrol,16.95 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5
Maruti Eeco 5 Seater AC BSIV,392000,38000,Petrol,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,5
Tata Manza Aura Plus Safire,150000,104000,Petrol,15.0 kmpl,1368 CC,90 bhp,116Nm@ 4750rpm,5
Honda BR-V i-VTEC E MT,595000,120000,Petrol,15.4 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,7
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,833000,35000,Diesel,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Maruti Swift VDI,280000,210000,Diesel,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Maruti 800 Std BSII,35000,35000,Petrol,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4
Maruti Ritz VDi,180000,85000,Diesel,21.1 kmpl,1248 CC,73.9 bhp,113Nm@ 4500rpm,5
Maruti Wagon R VXi BSII,225000,80000,Petrol,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5
Mercedes-Benz New C-Class 220 CDI AT,1400000,50000,Diesel,14.84 kmpl,2143 CC,170 bhp,400Nm@ 1400-2800rpm,5
Hyundai i20 Era Diesel,340000,40000,Diesel,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5
Toyota Innova 2.5 GX 8 STR,550000,216000,Diesel,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8
Maruti Wagon R VXI BS IV,400000,65000,Petrol,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5
Hyundai Getz GLE,90000,100000,Petrol,15.3 kmpl,1341 CC,83 bhp,115Nm@ 3200rpm,5
Maruti Ciaz VDi Plus SHVS,650000,84000,Diesel,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,730000,210000,Diesel,12.99 kmpl,2494 CC,100 bhp,200Nm@ 1400-3400rpm,7
Chevrolet Aveo U-VA 1.2 LS,125000,60000,Petrol,15.26 kmpl,1150 CC,74.9 bhp,110Nm@ 4400rpm,5
Hyundai Getz GLE,81000,100000,Petrol,15.3 kmpl,1341 CC,83 bhp,115Nm@ 3200rpm,5
Maruti Swift Glam,170000,78000,Petrol,16.1 kmpl,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5
Honda City 1.5 EXI,81000,161000,Petrol,13.0 kmpl,1493 CC,100 bhp,13.1kgm@ 4600rpm,5
Maruti Alto LX,95000,70000,Petrol,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
Tata Nano Cx BSIV,55000,50000,Petrol,26.0 kmpl,624 CC,35 bhp,"48@ 3,000+/-500(NM@ rpm)",4
Renault Lodgy World Edition 110PS,880000,65000,Diesel,19.98 kmpl,1461 CC,108.5 bhp,245Nm@ 1750rpm,8
Renault KWID RXL,200000,50000,Petrol,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5
Maruti Wagon R VXI 1.2,480000,25000,Petrol,20.52 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Mahindra Bolero 2011-2019 Plus AC,480000,100000,Diesel,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1440-2200rpm,9
Hyundai i20 1.2 Asta,700000,6000,Petrol,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5
Honda BRV i-DTEC V MT,850000,72113,Diesel,21.9 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,7
Tata Indigo CR4,300000,40000,Diesel,23.57 kmpl,1396 CC,70 bhp,140Nm@ 1800-3000rpm,5
Hyundai i20 1.2 Asta Option,650000,8000,Petrol,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5
Maruti Ritz VXI,220000,20000,Petrol,21.1 kmpl,1197 CC,85.80 bhp,114Nm@ 4000rpm,5
Tata Indigo CS LS (TDI) BS-III,300000,45000,Diesel,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5
Maruti Swift Dzire VDI,450000,80000,Diesel,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Maruti Swift VDI BSIV,400000,90000,Diesel,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Maruti S-Cross 2017-2020 Alpha DDiS 200 SH,1030000,25000,Diesel,25.1 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
Tata Manza Aura Quadrajet,190000,100000,Diesel,18.8 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5
Ford Fiesta 1.4 Duratec EXI,140000,60000,Petrol,16.6 kmpl,1388 CC,68 bhp,"16.3@ 2,000(kgm@ rpm)",5
Hyundai i20 Active S Diesel,800000,30000,Diesel,21.19 kmpl,1396 CC,88.76 bhp,219.66nm@ 1500-2750rpm,5
Mahindra Scorpio LX 2.6 Turbo,229999,120000,Diesel,10.5 kmpl,2609 CC,120 bhp,290Nm@ 1800-2800rpm,7
Tata Safari DICOR 2.2 EX 4x2,300000,80000,Diesel,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7
Volkswagen Vento Diesel Highline,375000,69000,Diesel,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5
Chevrolet Beat LT,140000,75000,Petrol,18.6 kmpl,1199 CC,79.4 bhp,108Nm@ 4400rpm,5
Maruti Alto LX,60000,113000,Petrol,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
Hyundai Xcent 1.1 CRDi S Option,420000,90000,Diesel,24.4 kmpl,1120 CC,71.01 bhp,180.4Nm@ 1750-2500rpm,5
Renault Pulse RxZ,300000,100000,Diesel,23.08 kmpl,1461 CC,63.12 bhp,160Nm@ 2000rpm,5
Tata Indica Vista Quadrajet VX,150000,110000,Diesel,22.3 kmpl,1248 CC,74 bhp,190Nm@ 1750-3000rpm,5
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,600000,90000,Diesel,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5
Ford Figo Diesel Titanium,204999,100000,Diesel,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5
Hyundai Xcent 1.2 CRDi SX,625000,50000,Diesel,25.4 kmpl,1186 CC,73.97 bhp,190.25nm@ 1750-2250rpm,5
Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),280000,200000,Diesel,20.5 kmpl,1248 CC,91.7 bhp,209Nm@ 2000rpm,5
Hyundai Santa Fe 2WD AT,1050000,146000,Diesel,13.01 kmpl,2199 CC,194.3 bhp,436.39Nm@ 1800-2500rpm,7
Chevrolet Optra Magnum 1.6 LT Petrol,250000,80000,Petrol,12.9 kmpl,1598 CC,102.5 bhp,148Nm@ 4000rpm,5
Tata New Safari DICOR 2.2 EX 4x2,535000,96443,Diesel,11.57 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7
Honda Accord 2.4 AT,400000,100000,Petrol,11.7 kmpl,2354 CC,177.6 bhp,222Nm@ 4300rpm,5
Maruti Swift AMT VXI,610000,10000,Petrol,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Maruti Swift Dzire VDI,509999,110000,Diesel,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Tata Safari Storme VX,521000,86000,Diesel,14.0 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7
Maruti Swift Dzire VDI,511000,100000,Diesel,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Hyundai i20 Sportz 1.4 CRDi,451000,91000,Diesel,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5
Hyundai i10 Sportz,170000,100000,Petrol,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5
Maruti Swift Dzire VDI,450000,120000,Diesel,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Honda City 1.5 V Elegance,375000,90000,Petrol,17.0 kmpl,1497 CC,118 bhp,146Nm at 4800 rpm,5
Maruti Alto 800 LXI,305000,60000,Petrol,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
Renault KWID RXT,315000,51500,Petrol,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5
Chevrolet Sail 1.3 LS,250000,60000,Diesel,22.1 kmpl,1248 CC,74 bhp,190Nm@ 1750rpm,5
Ford Figo Diesel EXI,200000,104500,Diesel,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,950000,30000,Diesel,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5
Renault Duster 110PS Diesel RxL,400000,120000,Diesel,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5
Maruti Swift ZDi,509999,100000,Diesel,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Honda Civic 1.8 V MT,375000,90000,Petrol,13.5 kmpl,1799 CC,130 bhp,172Nm@ 4300rpm,5
Maruti Wagon R LXI,150000,150000,Petrol,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5
Maruti Wagon R AX,75000,60000,Petrol,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5
Hyundai Verna 1.4 VTVT,465000,50000,Petrol,17.43 kmpl,1396 CC,105.5 bhp,135.3Nm@ 5000rpm,5
Hyundai Grand i10 1.2 CRDi Asta,700000,10000,Diesel,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5
Mahindra Scorpio 1.99 S10,950000,120000,Diesel,15.4 kmpl,1997 CC,120 bhp,280Nm@ 1800-2800rpm,7
Hyundai i20 1.2 Asta,610000,40000,Petrol,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5
Hyundai Santro GS zipDrive - Euro II,60000,120000,Petrol,,,,,
Maruti Alto 800 LXI,235000,50000,Petrol,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
Maruti Eeco 5 Seater AC BSIV,330000,90000,Petrol,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,5
Nissan Terrano XE 85 PS,472000,90000,Diesel,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5
Maruti Swift VXI,585000,10000,Petrol,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5
Mahindra Supro LX 8 Str,500000,10000,Diesel,23.5 kmpl,909 CC,45 bhp,98Nm@ 1600-3000rpm,8
Maruti Alto K10 VXI,360000,27000,Petrol,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5
Maruti Swift Dzire VDI,649000,70000,Diesel,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
Maruti Omni MPI CARGO BSIV,200000,50000,Petrol,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm,5
Maruti Swift 1.3 VXi,240000,60000,Petrol,,,,,
Hyundai Grand i10 CRDi Magna,400000,110000,Diesel,24.0 kmpl,1120 CC,70 bhp,160Nm@ 1500-2750rpm,5
Maruti Celerio VDi,250000,100000,Diesel,27.62 kmpl,793 CC,47 bhp,125Nm@ 2000rpm,5
Mahindra Marazzo M6,1200000,50000,Diesel,17.3 kmpl,1497 CC,121 bhp,300Nm@ 1750-2500rpm,7
Maruti Swift Vdi BSIII,250000,105000,Diesel,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm,5
