,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,manufacturer,price_group
1569,Skoda Rapid 1.6 MPI AT Style Plus,2016,675000,28182,Petrol,Trustmark Dealer,Automatic,First Owner,Skoda,"600,000 - 800,000"
1570,Nissan Kicks XV BSIV,2019,950000,11533,Petrol,Trustmark Dealer,Manual,First Owner,Nissan,"800,000+"
1571,Honda City i VTEC V,2017,850000,11688,Petrol,Trustmark Dealer,Manual,First Owner,Honda,"800,000+"
1572,Toyota Camry 2.5 Hybrid,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,Toyota,"800,000+"
1573,Toyota Corolla Altis 1.8 VL AT,2012,550000,57728,Petrol,Trustmark Dealer,Automatic,First Owner,Toyota,"400,000 - 600,000"
1574,Maruti Ciaz 1.3 Alpha,2018,925000,23712,Diesel,Trustmark Dealer,Manual,First Owner,Maruti,"800,000+"
1575,Ford Ecosport 1.5 Ti VCT AT Titanium,2015,625000,70670,Petrol,Trustmark Dealer,Automatic,First Owner,Ford,"600,000 - 800,000"
1576,Maruti Alto 800 LXI,2014,200000,43381,Petrol,Dealer,Manual,Second Owner,Maruti,"200,000 - 400,000"
1577,Honda City i VTEC CVT VX,2014,635000,79011,Petrol,Trustmark Dealer,Automatic,First Owner,Honda,"600,000 - 800,000"
1578,Honda Jazz VX,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,Honda,"400,000 - 600,000"
1579,Maruti SX4 VDI,2014,425000,50000,Diesel,Individual,Manual,Second Owner,Maruti,"400,000 - 600,000"
1580,Maruti Wagon R VXI BS IV,2011,220000,40000,Petrol,Individual,Manual,First Owner,Maruti,"200,000 - 400,000"
1581,Hyundai Grand i10 1.2 Kappa Asta,2018,590000,10000,Petrol,Individual,Manual,First Owner,Hyundai,"400,000 - 600,000"
1582,Mahindra Thar CRDe,2017,775000,35000,Diesel,Individual,Manual,First Owner,Mahindra,"600,000 - 800,000"
1583,Maruti Ritz VXi,2015,350000,58500,Petrol,Individual,Manual,First Owner,Maruti,"200,000 - 400,000"
1584,Maruti Baleno Delta 1.2,2018,575000,20000,Petrol,Individual,Manual,First Owner,Maruti,"400,000 - 600,000"
1585,Nissan Micra XL,2011,200000,43500,Petrol,Individual,Manual,Second Owner,Nissan,"200,000 - 400,000"
1586,Tata Hexa XT,2018,1575000,30000,Diesel,Individual,Manual,First Owner,Tata,"800,000+"
1587,Ford EcoSport 1.5 TDCi Titanium BSIV,2015,600000,63000,Diesel,Individual,Manual,First Owner,Ford,"600,000 - 800,000"
1588,Mahindra Bolero 2011-2019 ZLX BSIII,2016,720000,35000,Diesel,Individual,Manual,First Owner,Mahindra,"600,000 - 800,000"
1589,Tata Indigo eCS LS TDI BSIII,2012,158000,110000,Diesel,Individual,Manual,Second Owner,Tata,"0 - 200,000"
1590,Tata Hexa XT,2018,1575000,25000,Diesel,Individual,Manual,First Owner,Tata,"800,000+"
1591,Hyundai Xcent 1.2 VTVT S AT,2017,580000,30000,Petrol,Individual,Automatic,First Owner,Hyundai,"400,000 - 600,000"
1592,Mahindra Bolero 2011-2019 SLX,2012,420000,50000,Diesel,Individual,Manual,First Owner,Mahindra,"400,000 - 600,000"
1593,Mahindra Marazzo M6 8Str,2018,1200000,35000,Diesel,Individual,Manual,First Owner,Mahindra,"800,000+"
1594,Renault KWID 1.0 RXT Optional,2018,350000,30000,Petrol,Individual,Manual,First Owner,Renault,"200,000 - 400,000"
1595,Honda City i VTEC VX,2014,650000,56000,Petrol,Individual,Manual,First Owner,Honda,"600,000 - 800,000"
1596,Maruti Wagon R VXI BS IV,2017,400000,12700,Petrol,Individual,Manual,First Owner,Maruti,"400,000 - 600,000"
1597,Tata Nexon 1.5 Revotorq XM,2018,700000,35000,Diesel,Individual,Manual,First Owner,Tata,"600,000 - 800,000"
1598,Hyundai Xcent 1.2 Kappa SX,2017,520000,30000,Petrol,Individual,Manual,First Owner,Hyundai,"400,000 - 600,000"
1599,Mahindra Scorpio LX BSIV,2012,450000,120000,Diesel,Individual,Manual,First Owner,Mahindra,"400,000 - 600,000"
1600,Tata Safari Storme EX,2017,850000,100000,Diesel,Individual,Manual,First Owner,Tata,"800,000+"
1601,Renault KWID RXT,2017,350000,34000,Petrol,Individual,Manual,First Owner,Renault,"200,000 - 400,000"
1602,Mahindra Xylo D2,2011,450000,56000,Diesel,Individual,Manual,First Owner,Mahindra,"400,000 - 600,000"
1603,Hyundai i10 Era,2008,165000,90000,Petrol,Individual,Manual,First Owner,Hyundai,"0 - 200,000"
1604,Hyundai Santro Xing GLS,2010,160000,65000,Petrol,Individual,Manual,Second Owner,Hyundai,"0 - 200,000"
1605,Tata New Safari DICOR 2.2 EX 4x4,2011,300000,80000,Diesel,Individual,Manual,First Owner,Tata,"200,000 - 400,000"
1606,Mahindra Scorpio VLX 2WD BSIV,2012,550000,90000,Diesel,Individual,Manual,Third Owner,Mahindra,"400,000 - 600,000"
1607,Maruti Alto K10 VXI,2015,285000,40000,Petrol,Individual,Manual,First Owner,Maruti,"200,000 - 400,000"
1608,Hyundai Creta 1.6 CRDi SX,2016,850000,58000,Diesel,Individual,Manual,First Owner,Hyundai,"800,000+"
1609,Ford Freestyle Titanium Petrol BSIV,2018,700000,19100,Petrol,Individual,Manual,First Owner,Ford,"600,000 - 800,000"
1610,Maruti Ertiga ZXI Plus Petrol,2018,900000,25000,Petrol,Individual,Manual,First Owner,Maruti,"800,000+"
1611,Maruti Alto LXi BSIII,2005,180000,49455,Petrol,Individual,Manual,First Owner,Maruti,"0 - 200,000"
1612,Hyundai EON D Lite Plus Option,2016,220000,100000,Petrol,Individual,Manual,First Owner,Hyundai,"200,000 - 400,000"
1613,Tata Indica Vista Quadrajet LS,2013,120000,120000,Diesel,Individual,Manual,First Owner,Tata,"0 - 200,000"
1614,Hyundai i20 Asta Optional With Sunroof 1.2,2010,220000,90000,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,"200,000 - 400,000"
1615,Chevrolet Sail Hatchback LS ABS,2013,420000,46815,Diesel,Individual,Manual,Second Owner,Chevrolet,"400,000 - 600,000"
1616,Tata Indica Vista TDI LS,2013,160000,110000,Diesel,Individual,Manual,First Owner,Tata,"0 - 200,000"
1617,Hyundai EON Era Plus,2015,250000,80000,Petrol,Individual,Manual,First Owner,Hyundai,"200,000 - 400,000"
1618,Maruti Ertiga ZDI,2013,385000,100000,Diesel,Individual,Manual,Third Owner,Maruti,"200,000 - 400,000"
1619,Maruti Wagon R VXI BS IV with ABS,2014,318000,80000,Petrol,Individual,Manual,First Owner,Maruti,"200,000 - 400,000"
1620,Hyundai Xcent 1.2 VTVT S,2018,480000,40000,Petrol,Individual,Manual,First Owner,Hyundai,"400,000 - 600,000"
1621,Maruti Celerio VXI,2015,330000,70000,Petrol,Individual,Manual,Third Owner,Maruti,"200,000 - 400,000"
1622,Tata Indica Vista Aqua 1.4 TDI,2011,152000,80000,Diesel,Individual,Manual,First Owner,Tata,"0 - 200,000"
1623,Maruti Alto 800 LXI,2014,250000,40000,Petrol,Individual,Manual,First Owner,Maruti,"200,000 - 400,000"
1624,Tata Indica Vista Aqua 1.4 TDI,2011,248000,80000,Diesel,Individual,Manual,First Owner,Tata,"200,000 - 400,000"
1625,Nissan Micra XV,2011,300000,60000,Petrol,Individual,Manual,Second Owner,Nissan,"200,000 - 400,000"
1626,Hyundai i20 1.2 Spotz,2017,550000,50000,Petrol,Individual,Manual,First Owner,Hyundai,"400,000 - 600,000"
1627,Hyundai i20 Sportz 1.4 CRDi,2016,650000,30000,Diesel,Individual,Manual,First Owner,Hyundai,"600,000 - 800,000"
1628,Hyundai Grand i10 Magna,2017,445000,25000,Petrol,Individual,Manual,First Owner,Hyundai,"400,000 - 600,000"
1629,Toyota Innova 2.5 V Diesel 7-seater,2010,450000,334000,Diesel,Individual,Manual,First Owner,Toyota,"400,000 - 600,000"
1630,Mahindra NuvoSport N8,2016,600000,100000,Diesel,Individual,Manual,First Owner,Mahindra,"600,000 - 800,000"
1631,Renault Duster Adventure Edition,2014,495000,175000,Diesel,Individual,Manual,First Owner,Renault,"400,000 - 600,000"
1632,Maruti SX4 ZXI AT,2011,220000,65000,Petrol,Individual,Automatic,Third Owner,Maruti,"200,000 - 400,000"
1633,Maruti SX4 ZXI AT,2011,260000,65000,Petrol,Individual,Automatic,Third Owner,Maruti,"200,000 - 400,000"
1634,Hyundai Santro Xing GLS,2009,150000,90000,Petrol,Individual,Manual,First Owner,Hyundai,"0 - 200,000"
1635,Ford Figo Diesel Titanium,2011,200000,80000,Diesel,Individual,Manual,Second Owner,Ford,"200,000 - 400,000"
1636,Mahindra Scorpio S11 BSIV,2018,1465000,110000,Diesel,Individual,Manual,First Owner,Mahindra,"800,000+"
1637,Toyota Etios Liva GD,2012,285000,80000,Diesel,Individual,Manual,Second Owner,Toyota,"200,000 - 400,000"
1638,Honda Civic Hybrid,2008,250000,60000,Petrol,Individual,Automatic,Third Owner,Honda,"200,000 - 400,000"
1639,Mahindra Xylo D4,2014,310000,160000,Diesel,Individual,Manual,First Owner,Mahindra,"200,000 - 400,000"
1640,Mahindra Scorpio VLX 4WD AIRBAG AT BSIV,2010,600000,100875,Diesel,Individual,Automatic,First Owner,Mahindra,"600,000 - 800,000"
1641,Maruti Baleno Delta 1.2,2018,560000,20000,Petrol,Individual,Manual,First Owner,Maruti,"400,000 - 600,000"
1642,Maruti Swift Dzire VXI,2016,500000,30000,Petrol,Individual,Manual,First Owner,Maruti,"400,000 - 600,000"
1643,Hyundai Grand i10 CRDi Asta Option,2013,270000,118000,Diesel,Individual,Manual,First Owner,Hyundai,"200,000 - 400,000"
1644,Hyundai Verna 1.6 SX,2013,420000,69000,Diesel,Individual,Manual,Third Owner,Hyundai,"400,000 - 600,000"
1645,Maruti Swift Dzire LXI,2015,434999,25000,Petrol,Individual,Manual,Second Owner,Maruti,"400,000 - 600,000"
1646,Hyundai Xcent 1.2 Kappa AT S Option,2015,400000,100000,Petrol,Individual,Automatic,First Owner,Hyundai,"400,000 - 600,000"
1647,Maruti Swift Dzire VDI,2015,470000,110000,Diesel,Individual,Manual,First Owner,Maruti,"400,000 - 600,000"
1648,Nissan Terrano XL 85 PS,2015,480000,60000,Diesel,Individual,Manual,Third Owner,Nissan,"400,000 - 600,000"
1649,Hyundai Santro Xing GL,2008,105000,128000,Petrol,Individual,Manual,First Owner,Hyundai,"0 - 200,000"
1650,Tata Tiago 1.05 Revotorq XE,2017,325000,120000,Diesel,Individual,Manual,First Owner,Tata,"200,000 - 400,000"
1651,Toyota Etios Liva GD,2012,280000,80000,Diesel,Individual,Manual,Second Owner,Toyota,"200,000 - 400,000"
1652,Hyundai Grand i10 Nios AMT Sportz,2020,675000,5000,Petrol,Individual,Automatic,First Owner,Hyundai,"600,000 - 800,000"
1653,Hyundai i10 Sportz Option,2009,170000,90000,Petrol,Individual,Manual,Second Owner,Hyundai,"0 - 200,000"
1654,Hyundai Creta 1.6 CRDi SX Option,2017,1250000,90000,Diesel,Individual,Manual,First Owner,Hyundai,"800,000+"
1655,Honda Accord 2.4 M/T,2012,600000,144030,Petrol,Individual,Manual,First Owner,Honda,"600,000 - 800,000"
1656,Honda City i DTEC VX,2014,819999,200000,Diesel,Individual,Manual,First Owner,Honda,"800,000+"
1657,Hyundai i20 2015-2017 Asta Option 1.2,2016,650000,29000,Petrol,Individual,Manual,First Owner,Hyundai,"600,000 - 800,000"
1658,Maruti Wagon R LXI DUO BSIII,2007,105000,90000,Other,Individual,Manual,Second Owner,Maruti,"0 - 200,000"
1659,Mahindra Renault Logan 1.5 Diesel DLSX,2009,200000,176000,Diesel,Individual,Manual,Second Owner,Mahindra,"200,000 - 400,000"
1660,Tata Indigo CS LX (TDI) BS III,2013,200000,150000,Diesel,Individual,Manual,First Owner,Tata,"200,000 - 400,000"
1661,Maruti Omni E MPI STD BS IV,2016,220000,90000,Petrol,Individual,Manual,First Owner,Maruti,"200,000 - 400,000"
1662,Volkswagen Vento 1.6 Highline,2014,500000,70000,Petrol,Individual,Manual,Second Owner,Volkswagen,"400,000 - 600,000"
1663,Mahindra Renault Logan 1.5 DLX Diesel,2007,175000,99000,Diesel,Individual,Manual,Second Owner,Mahindra,"0 - 200,000"
1664,Tata Tiago 1.2 Revotron XZ,2018,450000,5000,Petrol,Individual,Manual,First Owner,Tata,"400,000 - 600,000"
1665,Chevrolet Optra Magnum 2.0 LT,2008,210000,90000,Diesel,Individual,Manual,Fourth & Above Owner,Chevrolet,"200,000 - 400,000"
1666,Maruti Ritz VDi,2011,270000,89000,Diesel,Individual,Manual,Second Owner,Maruti,"200,000 - 400,000"
1667,Tata Indica V2 DLS TC,2006,110000,88000,Diesel,Individual,Manual,Second Owner,Tata,"0 - 200,000"
1668,Maruti Swift Dzire VDI,2015,480000,30000,Diesel,Individual,Manual,First Owner,Maruti,"400,000 - 600,000"
1669,Maruti Swift Dzire AMT ZDI,2016,650000,50000,Diesel,Individual,Automatic,Second Owner,Maruti,"600,000 - 800,000"
1670,Maruti Swift Dzire VDI,2013,480000,80000,Diesel,Individual,Manual,First Owner,Maruti,"400,000 - 600,000"
1671,Hyundai i20 Asta Option 1.4 CRDi,2016,700000,40000,Diesel,Individual,Manual,First Owner,Hyundai,"600,000 - 800,000"
1672,Maruti Ertiga VDI,2015,650000,110000,Diesel,Individual,Manual,Third Owner,Maruti,"600,000 - 800,000"
1673,Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2015,1300000,48000,Diesel,Individual,Manual,Second Owner,Hyundai,"800,000+"
1674,Volkswagen Jetta 2.0L TDI Highline AT,2016,1350000,97000,Diesel,Individual,Automatic,First Owner,Volkswagen,"800,000+"
1675,Volkswagen Vento 1.5 TDI Highline AT,2016,1000000,60000,Diesel,Individual,Automatic,First Owner,Volkswagen,"800,000+"
1676,Mercedes-Benz M-Class ML 350 4Matic,2011,1700000,110000,Diesel,Individual,Automatic,Third Owner,Mercedes-Benz,"800,000+"
1677,Toyota Yaris V CVT BSIV,2018,1080000,12800,Petrol,Individual,Automatic,First Owner,Toyota,"800,000+"
1678,Hyundai EON D Lite,2012,170000,40000,Petrol,Individual,Manual,First Owner,Hyundai,"0 - 200,000"
1679,Maruti Swift DDiS VDI,2017,610000,49000,Diesel,Individual,Manual,First Owner,Maruti,"600,000 - 800,000"
1680,Maruti Ritz VXi,2014,350000,25000,Petrol,Individual,Manual,First Owner,Maruti,"200,000 - 400,000"
1681,Maruti Alto 800 LXI,2016,260000,65000,Petrol,Individual,Manual,Second Owner,Maruti,"200,000 - 400,000"
1682,Fiat Linea 1.3 Multijet Emotion,2015,700000,20000,Diesel,Individual,Manual,First Owner,Fiat,"600,000 - 800,000"
1683,Volkswagen Polo 2015-2019 1.0 MPI Highline Plus,2018,678000,17000,Petrol,Individual,Manual,First Owner,Volkswagen,"600,000 - 800,000"
1684,Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2015,800000,15000,Diesel,Individual,Manual,First Owner,Maruti,"800,000+"
1685,Toyota Etios GD,2014,400000,120000,Diesel,Individual,Manual,Second Owner,Toyota,"400,000 - 600,000"
1686,Hyundai i20 Magna,2010,300000,49000,Petrol,Individual,Manual,First Owner,Hyundai,"200,000 - 400,000"
1687,Hyundai i20 2015-2017 Magna 1.2,2016,520000,29000,Petrol,Individual,Manual,First Owner,Hyundai,"400,000 - 600,000"
1688,Nissan Terrano XV D Premium AMT,2017,850000,55000,Diesel,Individual,Automatic,First Owner,Nissan,"800,000+"
1689,Mahindra Marazzo M8,2019,1460000,5000,Diesel,Individual,Manual,First Owner,Mahindra,"800,000+"
1690,Tata Nexon 1.5 Revotorq XZ Plus,2017,830000,35000,Diesel,Individual,Manual,First Owner,Tata,"800,000+"
1691,Datsun GO T Option BSIV,2018,430000,5000,Petrol,Individual,Manual,Second Owner,Datsun,"400,000 - 600,000"
1692,Ford EcoSport 1.5 TDCi Platinum Edition BSIV,2017,850000,60000,Diesel,Individual,Manual,First Owner,Ford,"800,000+"
1693,Maruti Swift Dzire ZXI,2017,650000,70000,Petrol,Individual,Manual,First Owner,Maruti,"600,000 - 800,000"
1694,Hyundai Verna CRDi,2008,120000,120000,Diesel,Individual,Manual,Second Owner,Hyundai,"0 - 200,000"
1695,Mahindra TUV 300 T8,2016,730000,65100,Diesel,Individual,Manual,Second Owner,Mahindra,"600,000 - 800,000"
1696,Maruti Ignis 1.2 AMT Delta BSIV,2019,525000,20000,Petrol,Individual,Automatic,First Owner,Maruti,"400,000 - 600,000"
1697,Hyundai i20 Active 1.4 SX,2015,600000,108000,Diesel,Individual,Manual,First Owner,Hyundai,"600,000 - 800,000"
1698,Maruti Swift LXI,2019,500000,15000,Petrol,Individual,Manual,First Owner,Maruti,"400,000 - 600,000"
1699,Hyundai Santro Xing GLS,2009,150000,77000,Petrol,Individual,Manual,First Owner,Hyundai,"0 - 200,000"
1700,Maruti Wagon R VXI BS IV,2015,409999,18500,Petrol,Individual,Manual,First Owner,Maruti,"400,000 - 600,000"
1701,Mahindra TUV 300 T8,2016,625000,120000,Diesel,Individual,Manual,First Owner,Mahindra,"600,000 - 800,000"
1702,Renault KWID RXT,2015,290000,15200,Petrol,Individual,Manual,First Owner,Renault,"200,000 - 400,000"
1703,Honda Mobilio V i VTEC,2015,500000,35000,Petrol,Individual,Manual,First Owner,Honda,"400,000 - 600,000"
1704,Hyundai Verna 1.6 SX,2011,475000,80000,Diesel,Individual,Manual,First Owner,Hyundai,"400,000 - 600,000"
1705,Hyundai EON Era Plus,2013,190000,70000,Petrol,Individual,Manual,First Owner,Hyundai,"0 - 200,000"
1706,Mahindra XUV500 W6 2WD,2014,750000,80000,Diesel,Individual,Manual,Second Owner,Mahindra,"600,000 - 800,000"
1707,Nissan Terrano XV 110 PS,2014,525000,120000,Diesel,Individual,Manual,Second Owner,Nissan,"400,000 - 600,000"
1708,Chevrolet Cruze LTZ,2012,495000,82000,Diesel,Individual,Manual,Third Owner,Chevrolet,"400,000 - 600,000"
1709,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,Jaguar,"800,000+"
1710,Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,Lexus,"800,000+"
1711,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,Jaguar,"800,000+"
1712,Tata Safari Storme EX,2015,503000,110000,Diesel,Individual,Manual,First Owner,Tata,"400,000 - 600,000"
1713,Volvo XC40 D4 Inscription BSIV,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,Volvo,"800,000+"
1714,Toyota Camry 2.5 Hybrid,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,Toyota,"800,000+"
1715,Maruti Wagon R LXI,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,Maruti,"200,000 - 400,000"
1716,Maruti Baleno Alpha 1.3,2018,740000,38817,Diesel,Dealer,Manual,First Owner,Maruti,"600,000 - 800,000"
1717,Honda Jazz VX,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,Honda,"400,000 - 600,000"
1718,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,Toyota,"600,000 - 800,000"
1719,Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,Maruti,"600,000 - 800,000"
1720,Toyota Etios VX,2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,Toyota,"600,000 - 800,000"
1721,Maruti Swift AMT ZXI,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,Maruti,"600,000 - 800,000"
1722,Hyundai Grand i10 1.2 CRDi Sportz,2017,450000,56290,Diesel,Dealer,Manual,First Owner,Hyundai,"400,000 - 600,000"
1723,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,BMW,"800,000+"
1724,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,BMW,"800,000+"
1725,Honda Amaze V CVT Petrol BSIV,2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,Honda,"600,000 - 800,000"
1726,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,Skoda,"600,000 - 800,000"
1727,Volvo V40 D3 R-Design,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,Volvo,"800,000+"
1728,Honda City 1.5 V AT,2010,321000,60000,Petrol,Individual,Automatic,Second Owner,Honda,"200,000 - 400,000"
1729,Toyota Etios Liva 1.2 V Dual Tone,2017,585000,50000,Petrol,Individual,Manual,First Owner,Toyota,"400,000 - 600,000"
1730,Ford Figo Diesel EXI,2011,225000,70000,Diesel,Individual,Manual,First Owner,Ford,"200,000 - 400,000"
1731,Honda Amaze E i-DTEC,2017,500000,70000,Diesel,Individual,Manual,First Owner,Honda,"400,000 - 600,000"
1732,Hyundai i20 1.4 CRDi Asta,2011,350000,90000,Diesel,Individual,Manual,Third Owner,Hyundai,"200,000 - 400,000"
1733,Maruti Ertiga SHVS LDI Option,2016,756000,70000,Diesel,Individual,Manual,Second Owner,Maruti,"600,000 - 800,000"
1734,Maruti Alto 800 VXI,2014,240000,50000,Petrol,Individual,Manual,First Owner,Maruti,"200,000 - 400,000"
1735,Maruti Omni 8 Seater BSII,2012,80000,120000,Petrol,Individual,Manual,Second Owner,Maruti,"0 - 200,000"
1736,Hyundai i20 Active S Petrol,2019,800000,5000,Petrol,Individual,Manual,First Owner,Hyundai,"800,000+"
1737,Tata Hexa XE,2018,1250000,25000,Diesel,Individual,Manual,First Owner,Tata,"800,000+"
1738,Mahindra Scorpio VLS 2.2 mHawk,2009,320000,80000,Diesel,Individual,Manual,Third Owner,Mahindra,"200,000 - 400,000"
1739,Hyundai Grand i10 Sportz,2017,509999,25000,Petrol,Individual,Manual,First Owner,Hyundai,"400,000 - 600,000"
1740,Tata Zest Quadrajet 1.3 75PS XE,2019,650000,15000,Diesel,Individual,Manual,First Owner,Tata,"600,000 - 800,000"
1741,Maruti Alto K10 2010-2014 VXI,2011,210000,35000,Petrol,Individual,Manual,Second Owner,Maruti,"200,000 - 400,000"
1742,Maruti Alto LXi,2008,110000,80000,Petrol,Individual,Manual,Second Owner,Maruti,"0 - 200,000"
1743,Tata Nexon 1.5 Revotorq XE,2017,665000,25000,Diesel,Individual,Manual,First Owner,Tata,"600,000 - 800,000"
1744,Volkswagen Ameo 1.5 TDI Comfortline,2017,555000,52000,Diesel,Individual,Manual,First Owner,Volkswagen,"400,000 - 600,000"
1745,Volkswagen Ameo 1.5 TDI Comfortline,2017,560000,52000,Diesel,Individual,Manual,First Owner,Volkswagen,"400,000 - 600,000"
1746,Mahindra KUV 100 mFALCON D75 K6 Plus,2016,375000,80000,Diesel,Individual,Manual,First Owner,Mahindra,"200,000 - 400,000"
1747,Maruti Swift VDI BSIV W ABS,2011,290000,77000,Diesel,Individual,Manual,Second Owner,Maruti,"200,000 - 400,000"
1748,Toyota Fortuner 2.8 4WD AT BSIV,2017,2950000,50000,Diesel,Individual,Automatic,First Owner,Toyota,"800,000+"
1749,Maruti Swift Dzire VDI,2017,605000,127000,Diesel,Individual,Manual,First Owner,Maruti,"600,000 - 800,000"
1750,Honda WR-V i-VTEC VX,2017,720000,30000,Petrol,Individual,Manual,First Owner,Honda,"600,000 - 800,000"
1751,Maruti Ertiga SHVS ZDI Plus,2017,800000,70000,Diesel,Individual,Manual,First Owner,Maruti,"800,000+"
1752,Mahindra XUV500 W10 2WD,2017,1325000,54000,Diesel,Individual,Manual,First Owner,Mahindra,"800,000+"
1753,Mitsubishi Pajero 2.8 SFX BSIII Single Tone,2011,625000,120000,Diesel,Individual,Manual,Second Owner,Mitsubishi,"600,000 - 800,000"
1754,Hyundai i20 1.4 CRDi Sportz,2011,350000,116500,Diesel,Individual,Manual,First Owner,Hyundai,"200,000 - 400,000"
1755,Toyota Innova 2.5 G (Diesel) 8 Seater,2012,600000,145000,Diesel,Individual,Manual,Second Owner,Toyota,"600,000 - 800,000"
1756,Hyundai i20 Sportz 1.2,2012,300000,120000,Petrol,Individual,Manual,First Owner,Hyundai,"200,000 - 400,000"
1757,Tata New Safari DICOR 2.2 VX 4x2 BS IV,2011,240000,120000,Diesel,Individual,Manual,First Owner,Tata,"200,000 - 400,000"
1758,Ford Figo 1.5D Trend MT,2016,377000,80000,Diesel,Individual,Manual,First Owner,Ford,"200,000 - 400,000"
1759,Maruti Ertiga VXI,2013,450000,140000,Petrol,Individual,Manual,First Owner,Maruti,"400,000 - 600,000"
1760,Hyundai Verna Xi (Petrol),2008,160000,100000,Petrol,Individual,Manual,Fourth & Above Owner,Hyundai,"0 - 200,000"
1761,Hyundai Xcent 1.2 VTVT E,2019,525000,100000,Petrol,Individual,Manual,First Owner,Hyundai,"400,000 - 600,000"
1762,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2011,550000,168000,Diesel,Individual,Manual,Second Owner,Toyota,"400,000 - 600,000"
1763,Chevrolet Cruze LTZ,2010,270000,120000,Diesel,Individual,Manual,Third Owner,Chevrolet,"200,000 - 400,000"
1764,Toyota Etios GD,2016,570000,145000,Diesel,Individual,Manual,Second Owner,Toyota,"400,000 - 600,000"
1765,Ford Figo Diesel Titanium,2011,225000,90000,Diesel,Individual,Manual,Second Owner,Ford,"200,000 - 400,000"
1766,Hyundai Xcent 1.2 VTVT S,2019,590000,90000,Petrol,Individual,Manual,First Owner,Hyundai,"400,000 - 600,000"
1767,Jeep Compass 2.0 Longitude Option BSIV,2018,1675000,80000,Diesel,Individual,Manual,First Owner,Jeep,"800,000+"
1768,Ford Aspire Titanium BSIV,2019,800000,33000,Petrol,Dealer,Manual,First Owner,Ford,"800,000+"
1769,Chevrolet Sail 1.2 LS ABS,2014,450000,13500,Petrol,Individual,Manual,First Owner,Chevrolet,"400,000 - 600,000"
1770,Tata Indigo LX,2012,300000,80000,Diesel,Individual,Manual,First Owner,Tata,"200,000 - 400,000"
1771,Hyundai i20 1.2 Spotz,2017,645000,20000,Petrol,Individual,Manual,First Owner,Hyundai,"600,000 - 800,000"
1772,Maruti Swift Dzire VDI,2013,520000,58000,Diesel,Individual,Manual,First Owner,Maruti,"400,000 - 600,000"
1773,Hyundai EON Magna Plus,2013,200000,40000,Petrol,Individual,Manual,First Owner,Hyundai,"200,000 - 400,000"
1774,Honda City i VTEC V,2015,700000,30000,Petrol,Individual,Manual,First Owner,Honda,"600,000 - 800,000"
1775,Maruti 800 AC,2000,45000,50000,Petrol,Individual,Manual,Second Owner,Maruti,"0 - 200,000"
1776,Ford Figo Aspire 1.5 TDCi Ambiente,2016,459999,73000,Diesel,Individual,Manual,First Owner,Ford,"400,000 - 600,000"
1777,Maruti Ritz VDi,2014,325000,90000,Diesel,Individual,Manual,Second Owner,Maruti,"200,000 - 400,000"
1778,Maruti Wagon R VXI BS IV,2015,350000,50000,Petrol,Individual,Manual,Second Owner,Maruti,"200,000 - 400,000"
1779,Hyundai Verna 1.6 CRDI,2011,440000,80000,Diesel,Individual,Manual,Third Owner,Hyundai,"400,000 - 600,000"
1780,Hyundai i20 1.4 CRDi Magna,2011,320000,70000,Diesel,Individual,Manual,Second Owner,Hyundai,"200,000 - 400,000"
1781,Chevrolet Spark 1.0 LS,2011,169000,41000,Petrol,Individual,Manual,First Owner,Chevrolet,"0 - 200,000"
1782,Volkswagen Polo Petrol Comfortline 1.2L,2013,350000,50000,Petrol,Individual,Manual,Fourth & Above Owner,Volkswagen,"200,000 - 400,000"
